iter	Passed	Remaining
0	1	140
1	2	115
2	3	111
3	4	102
4	5	100
5	6	98
6	6	91
7	7	89
8	8	90
9	9	89
10	10	86
11	11	83
12	11	79
13	12	76
14	13	74
15	13	71
16	14	68
17	14	66
18	15	64
19	15	62
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	19	53
27	20	52
28	21	51
29	21	50
30	22	49
31	22	48
32	23	47
33	23	46
34	24	45
35	25	44
36	25	43
37	26	42
38	26	41
39	27	40
40	27	39
41	28	38
42	28	37
43	29	37
44	29	36
45	30	35
46	30	34
47	31	33
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	29
54	35	28
55	35	28
56	36	27
57	37	26
58	37	26
59	38	25
60	39	25
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
